date,province,place,responsible,death,desc,lat,lng
2012-3-13,四川,四川阿坝州马尔康县，,四川九寨运业公司,15,一辆客车（川U20777，核载37人，实载21人）从成都驶往马尔康县，行至国道317线295公里+138米（梭磨乡）处，冲出路面坠入道路外侧山沟，造成15人死亡，6人受伤。,32.01930373,102.0233049
2013-9-15,四川,四川达州市渠县,"四川达运集团渠县通林分公司（客车）
四川达州市亚通运业有限公司（货车）",21,"一辆客车（川S31500，核载24人，实载27人）行至渠县167县道一T型路口时，与一辆货车（川S37789）相撞，造成21人死亡，7人受伤。		
",30.94881416,106.9876018
2011-8-29,四川,四川达州市大竹县 ,曾家沟煤矿,12,采煤工作面发生透水事故，造成12人死亡。,30.69077238,107.2798774
2013-5-11,四川,四川省泸州市泸县,桃子沟煤业有限公司,28,发生瓦斯爆炸事故，造成28人死亡，18人受伤。,29.12491997,105.5082673
2013-2-1,四川,四川省泸州市古蔺县,四川泸州市古蔺县畅通运输有限公司,11,一辆大客车（川E44303，核载30人，实载30人）行至省道309线29公里＋100米一上坡转弯路段时，侧翻至公路右侧82米的山崖下，造成11人死亡，18人受伤。,27.98331945,105.9362933
2014-3-6,四川,四川省南充市仪陇县 ,南充汽车运输（集团）有限公司仪陇分公司,11,一辆客运车（川R41518，核载16人，实载12人）行至杨桥镇五一桥时，撞断桥上护栏坠入湖中，造成11人死亡，1人受伤。,31.44359322,106.5347249
2011-11-23,四川,四川甘孜州雅江县恶古乡,个体,17,一辆农用车（无牌照，核载3人，实载19人）翻坠至距路面110米高的雅砻江岸边，造成17人死亡，2人受伤（其中1人重伤）。,29.61546083,101.0637762
2012-8-29,四川,四川攀枝花市西区,金正工贸公司肖家湾煤矿,48,发生瓦斯爆炸事故，造成48人死亡。,26.58757126,101.7224232
2012-8-26,四川,四川广安市岳池县,"1.长安面包车（个人所有）
2.大货车（四川达县捷顺物流有限公司）",12,一辆长安面包车（临时川A68225，核载7人、实载12人）从成都驶往重庆，在沪蓉高速1714公里+400米处，与停靠在应急车道内维修的四川达县捷顺物流有限公司一辆大货车（川S39789，核载13.93吨，实载17吨）追尾相撞，造成面包车上12人死亡。,30.54076863,106.420833
2012-2-3,四川,四川宜宾市筠连县，,钓鱼台煤矿,14,发生瓦斯爆炸事故，造成13人死亡，1人失踪，12人受伤。,28.04209888,104.5884334
2013-6-3,吉林,吉林省长春市德惠市,吉林宝源丰禽业有限公司,121,发生火灾，造成121人死亡，76人受伤。,44.51050715,125.7690444
2013-4-1,吉林,吉林省白山市 ,吉煤集团通化矿业集团公司八宝煤业公司,17,发生瓦斯爆炸事故，造成17人死亡和下落不明，8人受伤。,41.9458594,126.4357977
2013-3-29,吉林,吉林省白山市,吉煤集团通化矿业集团公司八宝煤业公司,36,发生瓦斯爆炸事故，造成36人死亡，12人受伤。,41.9458594,126.4357977
2013-1-14,吉林,吉林省桦甸市 ,吉林老金厂金矿股份有限公司,10,井下发生火灾事故，造成10人死亡，28人受伤，另有1人在救援中受伤。,43.0566311,127.0413924
2013-4-20,吉林,吉林省延边州和龙市 ,庆兴煤业公司,18,发生瓦斯爆炸事故，造成18人死亡，12人受伤。,42.46644229,128.9112108
2014-3-5,吉林,吉林省吉林市迎宾大路,"1.吉林市平安客运有限责任公司
2.吉林市富康木业公司",10,租用的一辆通勤车（吉BA2057）起火燃烧，造成10人死亡，19人受伤。,43.88183399,126.4641246
2012-4-6,吉林,吉林省吉林市蛟河市,丰兴煤矿,12,发生透水事故，造成12人死亡。,43.71675608,127.3517419
2011-3-24,吉林,吉林白山市浑江区,通沟煤矿,13,+430米水平掘进工作面发生瓦斯爆炸事故，造成13人死亡，6人受伤。,41.79164223,126.3966429
2012-8-13,吉林,吉林白山市江源县,吉盛煤矿,20,+290米水平东石门三层掘进上山发生瓦斯事故，造成20人死亡。,42.07895859,126.8253017
2011-3-12,吉林,吉林白山市抚松县,吉林省桦甸市吉达运输有限责任公司,21,在鹤大线889公里+200米一长下坡处，追尾松江河通达客运有限公司一辆大客车（吉F42372，核载34人，实载45人），造成21人死亡，24人受伤（其中1人重伤）。,42.27790911,127.6239381
2014-12-29,北京,北京海淀区,北京建工一建工程建设有限公司,10,在总承包清华附中体育馆及宿舍楼工程工地发生筏板基础钢筋体系坍塌事故，造成10人死亡，4人受伤。,40.03316205,116.2396778
2013-11-19,北京,北京市朝阳区,民宅,12,一库房发生火灾事故，造成12人死亡，4人受伤。,39.95895317,116.5216949
2011-4-25,北京,北京市大兴区旧宫镇 ,南小街一非法服装加工作坊,18,发生火灾事故，造成18人死亡、24人受伤（其中重伤13人）。,39.81831724,116.443011
2011-4-15,云南,云南省曲靖市宣威县海岱镇,杨梅山煤矿,12,K7运输巷发生瓦斯爆炸事故，造成12人死亡，3人受伤。,26.07721592,104.3541415
2014-1-15,云南,云南省昆明市禄劝县 ,私人所有,12,一辆面包车（云AT816U，核载7人，实载12人）行驶至马鹿塘乡上龙厂村路段时坠下山崖，造成12人死亡。,25.94377104,102.5930275
2013-2-6,云南,云南省昆明市“两区”（倘甸产业园、昆明轿子山旅游开发区）,一辆昌河牌微型面包车,12,（云AG956Q，核载6人，实载15人）在乌蒙乡翻至75米山下，造成12人死亡，3人受伤。,26.08805286,102.8721982
2013-3-18,云南,云南省保山市,楚雄州汽车运输公司,15,一辆大客车（云E10598，核载30人，实载29人）行至大保高速公路113公里+200米处，侧翻下右侧山沟中，造成15人死亡，14人受伤。,25.1204892,99.17799561
2012-4-28,云南,云南省临沧市云县,临沧市交通运输集团公司,11,一辆客车（云S08156，核载19人，实载20人）翻下200余米的深沟内，造成11人死亡，9人受伤（其中6人重伤）。,24.32740648,100.2336801
2014-4-7,云南,云南曲靖市麒麟区东山镇,黎明实业有限公司下海子煤矿,22,发生透水事故，造成22人死亡。,25.25506009,104.0691121
2013-8-11,云南,云南曲靖市罗平县,私人所有,11,一辆面包车（云DV5586）翻下山沟，造成11人死亡，4人重伤。,24.98315713,104.3492788
2011-11-10,云南,云南曲靖市师宗县,私庄煤矿,43,2号副井1747水平石门揭煤过程中发生煤与瓦斯突出事故，造成43人死亡。,24.68019803,104.1294792
2014-4-21,云南,云南曲靖市富源县,红土田煤矿,14,发生瓦斯爆炸事故，造成14人死亡。,25.46721438,104.3674519
2012-12-5,云南,云南曲靖市富源县,上厂煤矿一号井，,17,发生煤与瓦斯突出事故，造成17人死亡，6人受伤。,25.46721438,104.3674519
2015-3-4,云南,云南昆明市官渡区彩云北路 ,东盟联丰农贸中心,12,一辆重型罐式危化品运输货车（载26.12吨食用酒精，乙醇含量95.4%）在东盟联丰农贸中心福萍食用酒精销售部倒灌过程中发生火灾事故，造成12人死亡，10人受伤。 ,24.99448017,102.7731664
2011-9-14,上海,上海市浦东新区 ,上海市北奥客运有限公司,11,的一辆金龙牌大客车（沪AG6427，核载47人，实载24人，上海英业达有限公司租赁为员工班车），沿上海市外环路行驶，与一辆小客车（皖M75412）追尾后侧翻，造成11人死亡，13人不同程度受伤。,31.23089535,121.6384813
2013-8-31,上海,上海宝山区,上海翁牌冷藏实业有限公司,16,发生氨泄漏事故，造成16人死亡，7人重伤。,31.39862269,121.4090412
